"min","max","avg"
0.916667,1.000000,0.969444
1.000000,1.000000,1.000000
0.983333,1.000000,0.997222
1.000000,1.000000,1.000000
0.983333,1.000000,0.997222
1.000000,1.000000,1.000000
0.983333,1.000000,0.997222
1.000000,1.000000,1.000000
0.983333,1.000000,0.997222
1.000000,1.000000,1.000000
0.983333,1.000000,0.997222
0.983333,1.000000,0.997222
0.983333,1.000000,0.997222
0.966667,1.000000,0.988889
0.983333,1.000000,0.997222
0.983333,1.000000,0.994444
1.000000,1.000000,1.000000
1.000000,1.000000,1.000000
0.983333,1.000000,0.997222
0.983333,1.000000,0.994444
1.000000,1.000000,1.000000
0.983333,1.000000,0.997222
1.000000,1.000000,1.000000
0.966667,1.000000,0.991667